Unnamed: 0,label_type,start_pos,end_pos,entities,originalText
41,"['试验要素', '试验要素', '试验要素', '试验要素', '任务场景', '任务场景', '任务场景', '任务场景', '试验要素']","[8, 30, 47, 56, 84, 91, 100, 107, 118]","[28, 41, 50, 68, 87, 94, 101, 109, 125]","""沿海战场侦察和分析系统""(cobras);""科罗拉多""号近海战斗舰;作战试验;""沿海战场侦察和分析系统"";两栖部队;登陆区域;水雷;障碍物;新型水雷探测系统","4月6日美国海军""沿海战场侦察和分析系统""(cobras)在""科罗拉多""号近海战斗舰上正式完成作战试验,试验中,""沿海战场侦察和分析系统""需要完成三项任务:一是分析确认两栖部队可能的登陆区域;二是探测水雷;三是定位障碍物,2月22日,该新型水雷探测系统完成了研制试验。"
42,"['性能指标', '试验要素', '系统组成', '试验要素', '试验要素', '试验要素']","[15, 22, 52, 56, 68, 102]","[18, 28, 54, 63, 82, 115]","威胁环境;水下核攻击方案;核弹头;""三叉戟""ⅱ导弹;""内布拉斯加""号弹道导弹核潜艇;""三叉戟""ⅱd5导弹延寿计划","作为评估各种升级和在快速变化的威胁环境下维持水下核攻击方案的一部分,美国海军在3月26日试射了两枚未搭载核弹头的""三叉戟""ⅱ导弹,导弹由""内布拉斯加""号弹道导弹核潜艇在加利福尼亚州南部海岸发射,这项试验是""三叉戟""ⅱd5导弹延寿计划的基础,该计划旨在确保该武器能够在21世纪40年代及以后继续服役。"
43,"['试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素']","[25, 38, 50, 67, 88, 102]","[36, 41, 61, 70, 91, 105]",战略导弹防御系统反导试验;被试系统;a-135反弹道导弹系统;反导系统;模拟靶标;弹道导弹,"俄罗斯空天军在哈萨克斯坦的沙雷沙甘试验训练场进行了战略导弹防御系统反导试验,被试系统是现代化改造后的a-135反弹道导弹系统,试验中,反导系统完成了相关作业,在指定的时间遭遇了模拟靶标(模拟的是一种传统的弹道导弹)。"
44,"['试验要素', '试验要素', '任务场景', '试验要素', '试验要素', '性能指标', '试验要素', '试验要素', '试验要素', '试验要素', '性能指标']","[32, 48, 59, 69, 74, 84, 94, 107, 129, 154, 170]","[39, 55, 61, 72, 80, 87, 95, 122, 135, 158, 173]","导弹防御跟踪演习;""萨德""系统软件;.0版;""萨德"";""爱国者""系统;互操作性;靶弹;""萨德""系统an/tpy-2雷达;""爱国者""系统;战术数据链;互操作性","美国导弹防御局和陆军在4月6日从新墨西哥州白沙导弹靶场成功进行了导弹防御跟踪演习,本次试验支持了""萨德""系统软件升级3.0版的工作,验证了""萨德""和""爱国者""系统之间的互操作性,演习期间,靶弹从白沙导弹靶场发射,由""萨德""系统an/tpy-2雷达探测与跟踪,""爱国者""系统同样也探测并跟踪了靶弹,两系统均通过战术数据链交换信息并验证了之间的互操作性。"
45,"['试验要素', '试验要素', '性能指标', '任务场景', '任务场景', '任务场景', '系统组成', '性能指标', '试验要素']","[41, 54, 71, 74, 98, 101, 133, 155, 163]","[50, 58, 72, 77, 99, 102, 136, 158, 168]",超高速射弹(hvp);超声速射弹;速度;普通炮管;陆军;海军;核心技术;威胁目标;演示验证试验,"美国战略与国际研究中心透露,国防部战略能力办公室(sco)将在一年内试射全新研制的超高速射弹(hvp),这款超声速射弹可以5600千米/小时的速度从普通炮管发射,单次发射成本仅为8.6万美元,目前陆军和海军正在与战略能力办公室制订移交计划,战略能力办公室仅仅负责验证核心技术的有用性,特别是验证射弹能够足够接近威胁目标的能力,演示验证试验将在一年内完成。"
46,"['试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '性能指标', '性能指标', '性能指标', '系统组成', '系统组成', '性能指标', '任务场景', '任务场景']","[4, 21, 33, 68, 93, 113, 127, 137, 151, 158, 166, 175, 190]","[13, 31, 38, 71, 94, 118, 129, 144, 156, 164, 169, 178, 191]",kc-46空中加油机;补充型号证书(stc);燃料输送试验;飞行时间;燃油;燃油输送速率;硬式空;军方最高加油速率;翼下加油吊舱;中心线加油平台;加油速率;小型飞机;燃油,"波音公司kc-46空中加油机现已完成所需的补充型号证书(stc)的燃料输送试验,试验由两架kc-46完成,作为试验内容,在3小时48分的飞行时间里,其中一架向另一架共输送了66224千克燃油,同时实现了1200加仑/分钟的最大燃油输送速率,通过试验验证了硬式空中加油能够满足军方最高加油速率的要求,同时翼下加油吊舱和中心线加油平台的加油速率也能满足为小型飞机每分钟输送400加仑的燃油。"
47,"['试验要素', '性能指标', '任务场景', '试验要素', '任务场景', '性能指标', '性能指标', '性能指标', '性能指标', '任务场景', '试验要素', '性能指标', '任务场景']","[19, 25, 36, 41, 67, 76, 79, 84, 88, 99, 121, 127, 134]","[23, 28, 38, 60, 69, 77, 82, 86, 91, 101, 125, 132, 137]","信息战部队;作战能力;战部队;""海军陆战队远征部队信息小组""(mig);信息相;网络;信号情报;电子战;信息作战;一实体;信息战小组;信息相关能力;传统部队","日前,美国海军陆战队已经开始试验其新的信息战部队的作战能力,这一新的信息战部队名为""海军陆战队远征部队信息小组""(mig),其将所有与信息相关的能力(如网络,信号情报,电子战和信息作战)统一组织在单一实体下,目前,海军陆战队正通过各种演习,将信息战小组和信息相关能力与传统部队结合起来。"
48,"['任务场景', '试验要素', '性能指标', '试验要素', '试验要素', '试验要素', '试验要素', '任务场景', '任务场景', '试验要素']","[18, 25, 33, 63, 74, 79, 105, 121, 145, 150]","[23, 31, 33, 66, 75, 81, 107, 135, 146, 153]",高超声速武器;3d打印战斗部;重;地下掩体;地面;冲击波;战斗部;杀伤力增强弹药(leo)战斗部;破片;建模技术,"轨道atk公司3月29日首次试验用于高超声速武器的3d打印战斗部,重22千克的战斗部在得克萨斯沙漠试验场进行试验,在几百米外的地下掩体中都能感觉到从地面传来的冲击波,本次试验是轨道atk公司首次对3d打印制造的战斗部进行试验,该公司一直在发展杀伤力增强弹药(leo)战斗部,以及某些用于辅助破片设计的建模技术。"
49,"['任务场景', '试验要素', '试验要素', '试验要素', '试验要素', '性能指标', '性能指标', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素']","[1, 10, 29, 69, 77, 103, 115, 139, 153, 156, 165, 174, 183]","[5, 23, 32, 75, 80, 106, 118, 141, 154, 159, 170, 180, 186]",DELETE;系统开发与演示验证(sdd);飞行试验;f-35战斗机;飞行试验;起飞架次;飞行时间;试验点;任务;效能试验;任务效能试验;f-35战斗机;敌方威胁,"f-35项目已经完成系统开发与演示验证(sdd)阶段的最后飞行试验,该试验于4月11日在马里兰州的帕图森特河海军航空站进行,在sdd阶段,f-35战斗机的飞行试验从2006年到2018年,共进行了约11年,起飞架次达9200多次,飞行时间超过17000小时,试验了约70000个试验点,试验内容包括了33种任务的效能试验,最大一次任务效能试验是8架f-35战斗机对付敌方威胁。"
50,"['试验要素', '试验要素', '性能指标', '性能指标', '性能指标', '性能指标']","[52, 87, 98, 104, 110, 114]","[67, 96, 101, 108, 112, 117]","""联合轻型战术车辆""(jltv);""联合轻型战术车辆"";预期环境;作战有效性;适用性;生存能力","从2月底到4月12日,美国陆军联合海军陆战队在海军陆战队空中作战中心加利福尼亚东部的莫哈韦沙漠开始对新型""联合轻型战术车辆""(jltv)开展试验,该试验收集到的数据将用于解决""联合轻型战术车辆""在预期环境中的作战有效性,适用性和生存能力等方面的问题。"
51,"['试验要素', '试验要素', '试验要素', '试验要素', '任务场景', '系统组成', '系统组成', '试验要素', '试验要素', '任务场景', '试验要素', '试验要素', '任务场景']","[38, 51, 93, 110, 117, 138, 150, 167, 182, 189, 200, 228, 241]","[47, 58, 103, 115, 121, 141, 156, 177, 187, 196, 207, 233, 246]","b61-12重力炸弹;非核系统飞行试验;b-2a""幽灵""轰炸机;b61-12;核试验组件;炸弹组件;尾翼组件工具包;b-2a""幽灵""轰炸机;b61-12;对端质量鉴定试验;质量鉴定飞行试验;b61-12;美国安全要求","6月9日,美国能源部国家核安全管理局和美国空军在内华达州的托诺帕试验场完成了b61-12重力炸弹的两次非核系统飞行试验，这些试验包括从位于加利福尼亚州爱德华兹空军基地第419飞行试验中队b-2a""幽灵""轰炸机上投放的一个b61-12非核试验组件,其中包括国家核安全管理局设计的炸弹组件和美国空军获得的尾翼组件工具包。这些试验是第一次在b-2a""幽灵""轰炸机上进行的b61-12端对端质量鉴定试验。这些质量鉴定飞行试验证明b61-12的设计符合系统要求,以及b61-12延寿计划在满足美国安全要求方面在不断取得进展。"
52,"['试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '性能指标', '性能指标']","[11, 29, 37, 41, 48, 55, 60, 66, 73, 83, 90, 99, 115, 129, 138]","[24, 32, 37, 44, 51, 58, 63, 69, 77, 86, 94, 105, 121, 136, 143]","c-130h""大力神""运输机;飞行试验;DELETE;系统性能;操作模式;飞行高度;飞行条件;飞行状态;全天候试验;实时视频;平视显示器;二维和三维标识;飞行和导航数据;目视着陆应用功能;头部跟踪功能","埃尔比特系统公司升级的c-130h""大力神""运输机完成首次飞行试验，试验对飞机及其系统性能在多种操作模式，各种飞行高度和飞行条件下的飞行状态进行了全天候试验。飞行中,实时视频显示在平视显示器上,通过二维和三维标识呈现了真实状态下的飞行和导航数据,增强了退化的目视着陆应用功能和头部跟踪功能。"
53,"['试验要素', '试验要素', '试验要素', '任务场景', '试验要素', '任务场景']","[28, 38, 53, 70, 80, 91]","[34, 44, 55, 73, 87, 100]","""硫磺石""导弹;""台风""战斗机;实弹试;作战能力;""台风""战斗机"";段增强包""(p3e)","作为持续开展的研发工作的一部分,由欧洲导弹防御集团研制的""硫磺石""导弹从一架""台风""战斗机上成功完成了首次实弹试射,这将极大提升该型战斗机的作战能力.此次试验是""台风""战斗机""第三阶段增强包""(p3e)集成工作的一部分。"
54,"['试验要素', '试验要素', '试验要素', '试验要素']","[4, 36, 42, 59]","[18, 40, 52, 71]","新型航空母舰""杰拉德.福特""号;固定翼飞机;电磁弹射和拦阻着舰试验;""杰拉德.福特""号航空母舰","美国海军新型航空母舰""杰拉德.福特""号于7月28日在弗吉尼亚海岸首次完成固定翼飞机的电磁弹射和拦阻着舰试验,此次试验距""杰拉德.福特""号航空母舰服役时间(7月22日)不满一周。"
55,"['试验要素', '试验要素', '试验要素', '试验要素', '任务场景', '性能指标', '试验要素', '试验要素', '试验要素', '性能指标', '任务场景']","[34, 43, 54, 57, 64, 69, 97, 124, 137, 149, 153]","[41, 46, 55, 60, 65, 71, 109, 127, 141, 151, 157]",kc-46加油机;电磁试验;雷达;无线电塔;系统;电磁场;电磁脉冲与电磁辐射设施平台;消声设施;kc-46;低速率;始生产飞机,"由美国波音公司、美国空军和海军航空系统司令部组成的联合小组于近日完成kc-46加油机的电磁试验,评估了飞机在雷达、无线电塔和其他系统产生的电磁场中安全作业的能力。此次试验在帕图森特河海军航空站的电磁脉冲与电磁辐射设施平台和爱德华空军基地的贝内费尔德消声设施中进行,试验飞机为kc-46项目中的第2架低速率初始生产飞机。"
56,"['试验要素', '试验要素', '性能指标', '系统组成', '性能指标', '性能指标', '任务场景', '任务场景', '任务场景', '任务场景', '性能指标', '性能指标', '试验要素', '任务场景', '试验要素', '试验要素']","[28, 46, 49, 51, 62, 69, 82, 89, 93, 99, 114, 124, 134, 143, 150, 162]","[41, 47, 49, 54, 62, 69, 84, 91, 95, 103, 115, 129, 139, 146, 156, 163]",微型撞击杀伤导弹受控飞行试验;导弹;DELETE;电子设备;长;重;火炮、;迫击炮;机动性;近距离目标;费用;后勤保障要求;受控飞行试验;美国陆军;技术成熟度等级;机理,"1月26日,洛克希德--马丁公司在白沙导弹靶场进行了一次微型撞击杀伤导弹受控飞行试验,演示了导弹弹体和电子设备的性能,该导弹长约72厘米,重约2.2千克,用途是针对火炮、火箭炮、迫击炮等机动性较强的近距离目标,该微型导弹的要求是费用较低、精度高并且后勤保障要求低,此次受控飞行试验,是向美国陆军演示其技术成熟度等级和验证相关机理。"
57,"['试验要素', '试验要素', '试验要素', '系统组成', '系统组成', '试验要素', '系统组成', '系统组成', '试验要素', '试验要素', '试验要素']","[10, 26, 39, 48, 62, 70, 116, 126, 165, 175, 188]","[18, 34, 42, 57, 65, 86, 121, 129, 168, 176, 195]","舰载机海上弹射试验;""福特""号航空母舰;恢复测试;通用原子电磁弹射系统;制动系统;f/a-18f""超级大黄蜂""战斗机;电磁弹射系统;制动系统;陆基试验;飞机;福特级空气翼模型","美国海军成功进行首次舰载机海上弹射试验,并在新服役的""福特""号航空母舰上进行了恢复测试，试验使用通用原子电磁弹射系统和先进的制动系统。试验中f/a-18f""超级大黄蜂""战斗机成功弹射起飞,通用原子公司称这是一个具有里程碑意义的事件。电磁弹射系统和先进的制动系统将继续在新泽西州mcguire-dix-lakehurst联合基地进行陆基试验,以支持所有飞机型号的发射和恢复,以及福特级空气翼模型的设计。"
58,"['试验要素', '任务场景', '任务场景', '任务场景', '试验要素', '任务场景', '任务场景', '系统组成', '系统组成', '性能指标', '系统组成']","[44, 59, 68, 73, 78, 93, 105, 112, 119, 122, 125]","[54, 62, 71, 76, 88, 99, 107, 115, 120, 123, 127]",先进柴油发动机地面试验;军用飞机;飞行任务;后勤负担;高效新型航空柴油发动机;有人和无人飞机;内燃机;液体冷却;复合;铝制;螺旋桨,"美国空军研究实验室先进力量技术办公室联合工程推进系统公司和阿诺德工程与发展中心近日进行了先进柴油发动机地面试验,以提高军用飞机效能,减轻飞行任务的后勤负担,高效新型航空柴油发动机有望替代有人和无人飞机目前使用的内燃机,它使用液体冷却,采用复合或铝制的螺旋桨。"
59,"['试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '性能指标', '试验要素', '任务场景']","[14, 57, 79, 82, 85, 91, 105, 135]","[32, 62, 80, 83, 89, 96, 107, 136]","""圣安东尼奥""级两栖运输舰""波特兰""号;海上验收试验;抛锚;转向;探测与交战;压载/卸压载;测试项;海军","亨廷顿英格尔斯工业公司建造的""圣安东尼奥""级两栖运输舰""波特兰""号在美国海军检查与调查委员会的监督指导下完成一系列海上验收试验,检验了舰船能力.期间进行了包括抛锚,转向,探测与交战,压载/卸压载在内的近200个测试项.英格尔斯造船厂项目经理表示,该舰原计划于今年秋季交付海军,由于海试提前完成,交付时间也将提前。"
60,"['试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '性能指标', '性能指标', '性能指标']","[5, 35, 44, 58, 115, 119, 123, 128, 135]","[17, 40, 52, 63, 117, 121, 126, 131, 137]","f-35""adir""战斗机;空中加油试验;隐身战斗机集成项目;空中加油试验;战斗机;加油机;飞行品质;专业分工;全天候","以色列空军f-35""adir""战斗机近日在特尔诺夫空军基地进行了一系列空中加油试验,作为隐身战斗机集成项目的一部分,空中加油试验与来自以色列nevatim空军基地的""绿巨人""中队合作,由以色列空军飞行试验中队具体实施,试验期间,对战斗机和加油机的飞行品质和专业分工进行了全天候评估。"
61,"['试验要素', '试验要素', '试验要素', '任务场景', '性能指标', '试验要素', '性能指标', '性能指标']","[13, 50, 78, 82, 97, 115, 133, 141]","[29, 71, 80, 84, 100, 117, 139, 146]","""独立""级近海战斗舰""科罗纳多""号;rgm-84d""鱼叉""blockc型反舰导弹;超视距;面目标;打击能力;无人机;超视距目标信息;毁伤情况评估","8月22日,美国海军第二艘""独立""级近海战斗舰""科罗纳多""号在海外部署期间,于关岛附近海域,发射一枚rgm-84d""鱼叉""blockc型反舰导弹,命中了一个超视距水面目标,验证了近海战斗舰的潜在打击能力,此次试验是美国海军首次利用无人机为从近海战斗舰上发射的导弹提供超视距目标信息和毁伤情况评估。"
62,"['试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '任务场景', '任务场景', '试验要素', '试验要素', '试验要素', '试验要素', '任务场景', '性能指标']","[3, 9, 27, 41, 55, 79, 100, 108, 139, 154, 167, 182, 185, 192]","[7, 24, 35, 48, 63, 87, 106, 114, 151, 162, 175, 183, 187, 197]","f-35a;f-35c""闪电""ⅱ型联合攻击机;block3f软件;武器投放精度试验;block3f软件;f-35联合攻击机;空军f-35a;海军f-35c;f-35b武器投放精度试验;block3f软件;f-35联合攻击机;投放;度试验;初始作战能力","近日,f-35a和f-35c""闪电""ⅱ型联合攻击机借助block3f软件完成新一轮武器投放精度试验.此次试验是block3f软件系统开发验证阶段的结束,也是在f-35联合攻击机上研制试验的结束,对实现空军f-35a和海军f-35c初始作战能力极为重要.下一步,在完成预期的另一轮f-35b武器投放精度试验后,block3f软件将完成在f-35联合攻击机三种型号上的投放精度试验,向实现初始作战能力更进一步。"
63,"['试验要素', '试验要素', '试验要素', '性能指标', '试验要素', '试验要素', '试验要素', '系统组成', '试验要素']","[30, 50, 57, 83, 89, 102, 109, 117, 135]","[42, 55, 65, 84, 90, 105, 114, 122, 140]","""纳格""反坦克导弹飞行试验;""纳格""导弹;""纳格""导弹运载车;距离;目标;飞行试验;""纳格""导弹;发射装置系统;导弹研制试验","印度国防研究与发展组织于9月8日在拉贾斯坦邦沙漠靶场完成两次""纳格""反坦克导弹飞行试验,试验中,两枚""纳格""导弹从""纳格""导弹运载车发射,并以极高精度命中两个处于不同距离和状态的目标,印度国防部称,成功的飞行试验表明,""纳格""导弹与其发射装置系统的全部功能已实现,标志着导弹研制试验已顺利完成。"
64,"['试验要素', '系统组成', '性能指标', '试验要素', '试验要素']","[35, 65, 89, 102, 122]","[57, 68, 91, 105, 127]","井射型rs-24""亚尔斯""固体燃料洲际弹道导弹;分导弹头;可靠性;试验弹头;指定区域目标","俄罗斯战略火箭兵于当日在莫斯科北部的普列谢茨克航天发射中心,试射了一枚井射型rs-24""亚尔斯""固体燃料洲际弹道导弹,导弹配有多个分导弹头.此次发射的目的是检验该型号同批次导弹的可靠性.俄罗斯国防部表示,试验弹头准确命中位于堪察加半岛库拉靶场的指定区域目标,完成了所有任务,达到了试验目的。"
65,"['试验要素', '试验要素', '试验要素', '试验要素', '性能指标', '性能指标', '性能指标', '性能指标', '试验要素']","[32, 52, 68, 79, 101, 109, 115, 121, 125]","[44, 61, 73, 82, 103, 112, 119, 121, 126]","""阿斯特拉""超视距空空导弹;苏-30mki战斗机;研制飞行试验;武器系统;远距离;中等距离;高机动目标;DELETE;导弹","9月11日-14日,在奥迪萨邦昌迪普尔综合试验场,印度自主研制的""阿斯特拉""超视距空空导弹在其空军的一架苏-30mki战斗机上完成最后的研制飞行试验,标志着其武器系统的研制阶段工作顺利结束.此次试验包括远距离打击目标,中等距离打击高机动目标,齐射多枚导弹打击多个目标等内容。"
66,"['试验要素', '试验要素', '试验要素', '性能指标']","[36, 66, 77, 92]","[59, 73, 88, 97]","""爱国者""先进能力pac-3导弹分段增强型拦截弹;战术弹道导弹靶弹;pac-3导弹分段增强型;远程发射装置","9月16日,在马绍尔群岛夸贾林环礁的里根试验场,洛克希德.马丁公司研制的""爱国者""先进能力pac-3导弹分段增强型拦截弹成功拦截一枚战术弹道导弹靶弹,这是pac-3导弹分段增强型首次从远程发射装置进行试验。"
67,"['试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素']","[9, 35, 90, 120, 138, 164]","[29, 46, 111, 123, 143, 167]","""反潜战持续跟踪无人艇""(actuv)项目;""海上猎人""技术验证装置;""海上系统空中拖曳伞平台""(alons)样机;联合试验;排雷有效载荷;海上试验","darpa成功完成""反潜战持续跟踪无人艇""(actuv)项目,并正式将""海上猎人""技术验证装置移交给美国海军研究办公室(onr),""海上猎人""原型于2016年9月与darpa研制的""海上系统空中拖曳伞平台""(alons)样机进行了一次成功的联合试验,并在2017年8月搭载一款排雷有效载荷完成了海试,海军研究办公室计划开展更多的海上试验,进一步开发actuv技术。"
68,"['试验要素', '试验要素', '试验要素', '性能指标', '系统组成', '系统组成', '系统组成', '试验要素', '任务场景', '系统组成', '系统组成', '性能指标', '试验要素']","[31, 62, 75, 81, 95, 99, 102, 109, 114, 132, 139, 147, 155]","[52, 72, 79, 86, 97, 100, 107, 112, 125, 137, 143, 148, 164]","""先进试验高能资产""(称""雅典娜"")系统样机;""雅典娜""激光武器系统;无人机威胁;关键杀伤能力;传感器;软件;专业光学系统;30千瓦;雅典娜""激光武器系统样机;波束控制技术;光纤激光器;翼展;""放逐者""无人机系统","美国陆军空间与导弹防御司令部于近期在新墨西哥州的白沙导弹靶场对""先进试验高能资产""(称""雅典娜"")系统样机进行了测试,验证了""雅典娜""激光武器系统应对无人机威胁的关键杀伤能力.测试期间,配备传感器,软件和专业光学系统的30千瓦""雅典娜""激光武器系统样机,利用先进的波束控制技术和光纤激光器对5架翼展为3.3米的""放逐者""无人机系统实施攻击。"
69,"['试验要素', '试验要素', '试验要素', '试验要素', '任务场景', '任务场景', '任务场景', '性能指标']","[8, 59, 69, 89, 105, 111, 116, 124]","[20, 67, 79, 101, 106, 112, 121, 127]","""萨德""(thaad)系统;美日韩联合反导演习;美以一体化防空反导试验;""宙斯盾""系统互操作性试验;美军;全球;导弹防御系统;联合作战","二是确定在韩部署""萨德""(thaad)系统,并选定星州高尔夫球场为具体部署地点,预计2017年末投入使用;三是通过实施美日韩联合反导演习,美以一体化防空反导试验,以及与西班牙完成""宙斯盾""系统互操作性试验,提高美军运用其在全球部署的导弹防御系统实施联合作战的能力。"
70,"['试验要素', '试验要素', '性能指标', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '任务场景', '任务场景', '试验要素', '性能指标', '任务场景']","[8, 47, 53, 63, 75, 83, 95, 99, 135, 149, 172, 175, 184, 192, 198]","[26, 51, 54, 65, 81, 93, 96, 105, 138, 152, 173, 182, 187, 194, 203]","""用于导弹防御的低功率激光武器演示器"";无人机平台;功率;激光器;""鬼眼""无人机;mq-9""死神""无人机;平台;低功率激光武器;飞行试验;验证试验;高空;长航时无人机平台;激光武器;助推段;洲际弹道导弹","导弹防御局发布了""用于导弹防御的低功率激光武器演示器""先进技术创新跨部门公告,寻求一种可部署于无人机平台,功率在100千瓦级的激光器,导弹防御局将利用""鬼眼""无人机或mq-9""死神""无人机等平台支持低功率激光武器验证,并计划在2017财年选定平台方案,2020年进行首次飞行试验,2021年进行最终验证试验,导弹防御局的最终目标是发展一种可用于高空,长航时无人机平台的激光武器,以拦截助推段飞行的洲际弹道导弹。"
71,"['试验要素', '试验要素', '性能指标', '试验要素', '试验要素', '性能指标', '试验要素', '性能指标', '试验要素', '试验要素', '试验要素', '任务场景']","[6, 20, 32, 56, 75, 81, 90, 95, 125, 135, 143, 145]","[11, 27, 35, 60, 79, 86, 93, 98, 133, 138, 143, 149]",现役反导系统;新型反导系统试验;反导能力;反导拦截弹;反导拦截弹;战术技术性能;反导系统;工作能力;a-235反导系统;拦截弹测;DELETE;代反导系统,"俄罗斯在保障现役反导系统延寿的同时,开展新型反导系统试验,确保其反导能力的持续发展,6月21日,俄罗斯成功进行了反导拦截弹的试射,旨在确认空天军列装的反导拦截弹的战术技术性能,检查反导系统的工作能力,有保障地延长系统使用寿命,此外,俄罗斯还成功进行了a-235反导系统的拦截弹测试,推进新一代反导系统研制。"
72,"['试验要素', '试验要素', '任务场景', '任务场景', '性能指标', '性能指标']","[4, 50, 72, 87, 94, 99]","[17, 60, 81, 92, 97, 106]","首长司令部联合反导计算机演习;""空天安全-2016"";防空反导联合作战行动;两国领土安全;弹道导弹;巡航导弹袭击能力","俄中首次首长司令部联合反导计算机演习在位于莫斯科的俄罗斯国防部空天防御部队科研中心进行,本次演习称为""空天安全-2016"",旨在演练俄中迅速部署防空反导联合作战行动,应对威胁两国领土安全的弹道导弹与巡航导弹袭击能力。"
73,"['试验要素', '任务场景', '任务场景', '试验要素', '试验要素', '试验要素']","[7, 35, 46, 51, 59, 63]","[10, 40, 49, 56, 60, 68]",激光武器;近地轨道卫星;作战目标;机载激光武器;载机;a-60战机,"俄罗斯披露了其激光武器研制的最新进展,目前,俄罗斯正在研制用于摧毁包括近地轨道卫星在内的多数作战目标的机载激光武器,其载机将由a-60战机改装。"
74,"['试验要素', '试验要素', '试验要素', '试验要素', '性能指标', '试验要素', '系统组成', '性能指标']","[2, 13, 41, 71, 85, 95, 116, 119]","[8, 16, 53, 77, 90, 101, 117, 120]","""大卫投石器"";研发试验;""大卫投石器""系统关键组件;全系统集成测试;初始作战能力;""魔棍""拦截弹;算法;软件","随着""大卫投石器""成功完成研发试验,以色列拉菲尔公司开始向以色列空军防空司令部交付""大卫投石器""系统关键组件,交付工作完成后,以色列空军将进行全系统集成测试,确保系统具备初始作战能力,其中,""魔棍""拦截弹的交付将分3个批次进行,包括算法与软件的升级。"
75,"['任务场景', '任务场景', '试验要素', '系统组成', '任务场景', '任务场景']","[10, 13, 33, 44, 81, 96]","[11, 17, 40, 49, 84, 97]","备役;铁穹""系统;""铁穹""系统导弹;新型软件模块;防空任务;威胁","以色列完成了现役和预备役""铁穹""系统的软件升级工作,以色列的第二个""铁穹""系统导弹连采用新型软件模块进行了系统升级,并通过资格认证,升级后的""铁穹""系统可执行多项防空任务,更好地应对不断升级的威胁。"
76,"['试验要素', '试验要素', '试验要素', '试验要素', '性能指标']","[10, 61, 70, 114, 134]","[24, 67, 81, 122, 139]","""标准-3""block2a导弹;新型导弹驱逐舰;""宙斯盾""基线9作战系统;""爱国者-3""系统;导弹防御能力","日本和美国联合开发的""标准-3""block2a导弹将于2017年春季完成研制,2018年开始部署;日本海上自卫队将为其两艘新型导弹驱逐舰装备""宙斯盾""基线9作战系统,这两艘战舰预计于2020年和2021年服役;计划利用5年时间对""爱国者-3""系统进行现代化升级,提升其导弹防御能力。"
77,"['试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素']","[13, 32, 60, 75, 104, 110, 161]","[24, 44, 62, 85, 108, 122, 174]","弹道导弹防御系统拦截试验;""先进防空导弹""(aad);发射架;""丹努什""弹道导弹靶弹;aad导弹;""大地防空导弹""(pad);""大地防御拦截弹""(pdv)","印度在孟加拉海域成功进行了弹道导弹防御系统拦截试验,试验中,一枚""先进防空导弹""(aad)从位于印度东海岸综合试验靶场的发射架上发射,成功摧毁了来袭的""丹努什""弹道导弹靶弹,印度弹道导弹防御系统第一阶段主要由aad导弹与""大地防空导弹""(pad)共同构成,目前,印度弹道导弹防御系统第二阶段发展计划已经启动,正在研制和试验""大地防御拦截弹""(pdv)。"
78,"['试验要素', '试验要素', '试验要素', '试验要素']","[24, 36, 95, 128]","[29, 41, 110, 133]","导弹拦截试验;中程弹道导弹;""标准""-3block2a拦截弹;中程弹道导弹","1月31日,美国导弹防御局联合美国海军进行了一次导弹拦截试验,模拟来袭的中程弹道导弹在空中发射,从部署在夏威夷考艾岛的""宙斯盾""岸上导弹防御试验综合设施上(太平洋导弹靶场综合设施)发射了一枚""标准""-3block2a拦截弹进行拦截,但拦截弹没能拦截到模拟的中程弹道导弹。"
79,"['试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '任务场景', '系统组成', '任务场景', '任务场景', '任务场景']","[30, 53, 71, 91, 99, 116, 135, 147, 154, 165]","[45, 69, 87, 97, 102, 130, 140, 152, 161, 170]","""韩国导弹防御""(kamd)体系;""中程地空导弹""(m-sam)系统;""远程地空导弹""(l-sam)系统;""爱国者""系统;预警雷达;""世宗大王""级""宙斯盾""驱逐舰;垂直发射系统;""标准-3"";""标准-6""导弹;导弹防御能力","韩国政府将2017年国防预算增加至361亿美元,用于支持构建""韩国导弹防御""(kamd)体系,该体系主要由""中程地空导弹""(m-sam)系统,""远程地空导弹""(l-sam)系统,美国""爱国者""系统和预警雷达组成,此外,韩国海军还在为""世宗大王""级""宙斯盾""驱逐舰安装新的垂直发射系统,使其可发射""标准-3""和""标准-6""导弹,提高导弹防御能力。"
